trial,gradient,data_id,words
1,Finite,1270,TWO TEN DELTA SIX FORTY EIGHT
1,Finite,23536,SAY AGAIN THE FREQ FOR DELTA THREE TWO SEVEN
1,Finite,5493,EIGHTEEN TWENTY FIVE
1,Finite,15404,EAGLE ONE GO AHEAD
1,Finite,19209,AMERICAN TWELVE SEVENTY FOUR IS IN A TURN
1,Finite,15912,OKAY WE'LL MONITOR BYE
1,Finite,20770,DELTA FIVE TWENTY TWO HEADING ZERO FOUR ZERO
1,Finite,27422,OK WE'LL DO THAT
1,Finite,8612,PACER EIGHT ONE OUT OF THREE FOR FOUR THOUSAND
1,Finite,1843,AH DOUBLE OH EIGHT U S EIGHT FIFTY TWO
1,Infinite,11910,ONE NINETEEN ONE THANK YOU GOOD DAY
1,Infinite,5425,EIGHTEEN TWENTY FIVE SO LONG
1,Infinite,17701,YEAH ANY CHANCE OF THIRTY SIX
2,Finite,1270,TWO TEN DELTA SIX FORTY EIGHT
2,Finite,23536,SAY AGAIN THE FREQ FOR DELTA THREE TWO SEVEN
2,Finite,5493,EIGHTEEN TWENTY FIVE
2,Finite,15404,EAGLE ONE GO AHEAD
2,Finite,19209,AMERICAN TWELVE SEVENTY FOUR IS IN A TURN
2,Finite,15912,OKAY WE'LL MONITOR BYE
2,Finite,20770,DELTA FIVE TWENTY TWO HEADING ZERO FOUR ZERO
2,Finite,27422,OK WE'LL DO THAT
2,Finite,8612,PACER EIGHT ONE OUT OF THREE FOR FOUR THOUSAND
2,Finite,1843,AH DOUBLE OH EIGHT U S EIGHT FIFTY TWO
2,Finite,11910,ONE NINETEEN ONE THANK YOU GOOD DAY
2,Finite,5425,EIGHTEEN TWENTY FIVE SO LONG
2,Finite,17701,YEAH ANY CHANCE OF THIRTY SIX
2,Finite,18902,ONE NINETY DELTA THREE EIGHTY SIX
2,Finite,29231,UNITED FOUR FIFTY WE 'LL HOLD SHORT
2,Finite,23449,ONE NINETY ASEA FOUR SIXTY SIX
2,Finite,10856,ROGER REDUCE TO ONE NINER ZERO KNOTS
2,Finite,15447,GOOD DAY BIZEX SIX THIRTY EIGHT
2,Finite,25639,THIRTY-TWO ONE DELTA FOUR TWENTY-SIX
2,Finite,10069,ONE ONE THOUSAND HOTEL CHARLIE
2,Finite,435,CACTUS EIGHT TWENTY SIX ROGER
2,Finite,13599,MIDEX FOUR FIFTEEN ANY LEFT TURN
2,Finite,16498,EIGHTEEN THIRTY SEVEN
2,Finite,2409,OKAY THIRTY EIGHT TWENTY FIVE
2,Finite,11791,SIXTY FIVE ELEVEN
2,Finite,20731,YEAH IT LOOKS REAL GOOD RIGHT NOW
2,Finite,11715,EXPECT ABOUT A TEN MILE FINAL
2,Finite,19292,SEVEN NINETY FOUR ROGER
2,Finite,24621,AMERICAN ONE SEVENTY EIGHT APPROACH
2,Finite,24202,ONE NINETY AND SWITCHING GOOD DAY
2,Finite,5593,FOUR FIFTY NINE
2,Finite,21434,THREE TWO EIGHTY-FIVE WE'LL SEE YOU
2,Finite,15407,AH WE TAKE IT TO THE END THANK YOU
2,Finite,11379,GOOD DAY UNITED SIXTEEN NINETY FOUR
2,Finite,13168,REPORT THE FIELD FORTY FOUR TWENTY ONE
2,Finite,17293,EAGLE ONE WASHINGTON TOWER
2,Finite,8095,AH DELTA WHISKEY YOU'RE UNREADABLE
2,Finite,18505,OKAY WE'LL MAINTAIN ONE NINETY
2,Finite,20503,ZERO EIGHT ZERO SEVEN OH SIX
2,Finite,7349,TWO SEVEN TWO THANKS FOR YOUR HELP
2,Finite,10201,OKAY THANKS A LOT SIR
2,Finite,7588,WE BE LOOKING DELTA SEVEN THIRTY ONE
2,Finite,186,ONE NINETEEN ONE GOOD DAY
2,Finite,9052,AND FLY HEADING TWO FIVE ZERO
2,Finite,15822,TROOPER EIGHT FREQUENCY CHANGE APPROVED WE'LL SEE YOU LATER
2,Finite,12687,DOWN TO THREE SEVENTEEN SIXTY FIVE
2,Finite,19187,ONE THREE ZERO AMERICAN TWELVE SEVENTY FOUR
2,Finite,19388,FIVE THOUSAND FOURTEEN FOURTEEN
2,Finite,10515,WE'RE LOOKING ONE PAPA HOTEL
2,Finite,21561,DELTA TEN FOURTEEN HEAVY WILCO
2,Finite,2963,BIZEX FOUR FOURTEEN IS WITH YOU
2,Finite,15568,(UNINTELLIGIBLE) CLEARED TO LAND THANK YOU
2,Finite,16526,FORTY THREE SIXTY NINE
2,Finite,557,CORRECTING NORTHWEST ONE EIGHTY TWO
2,Finite,8780,NINER THOUSAND CACTUS FIFTY FOUR
2,Finite,19519,THREE THOUSAND DELTA ELEVEN THIRTY SEVEN
2,Finite,24410,(UNINTELLIGIBLE)
2,Finite,11161,WILCO T W A TEN
2,Finite,20672,AMERICAN AH THIRTEEN THIRTY TWO
2,Finite,23683,ASEA THREE THIRTY FIVE REGIONAL APPROACH ROGER
2,Finite,25572,FIVE SIX QUEBEC ROGER
2,Finite,1194,CARE EIGHTY THREE HAS THE TRAFFIC SIR
2,Finite,18908,BE ABOUT TWELVE OR THIRTEEN MILES
2,Finite,27099,IN SIGHT TAXI TO PARKING
2,Finite,23756,TWENTY FOUR FIVE WE'LL DO ALL THAT
2,Finite,18350,(UNINTELLIGIBLE)
2,Finite,29144,THREE SIXTY FIVE ROGER
2,Finite,16213,GOOD DAY UNITED SIX ELEVEN
2,Finite,10742,AH DID YOU HAVE THE AIRPORT IN SIGHT
2,Finite,24408,THIRTY FIVE RIGHT TEN NINETY SIX
2,Finite,7560,LOOKING FOUR NINETY THREE
2,Finite,28558,AMERICAN THIRTEEN FORTY ONE
2,Finite,27305,SECOND M D EIGHTY AT THIRTY TWO IS WHO
2,Finite,20354,AFFIRMATIVE AMERICAN FORTY THREE
2,Finite,2413,DELTA TWO OH TWO SLOWING
2,Finite,14603,(UNINTELLIGIBLE)
2,Finite,3792,THREE EIGHT OH SIX CLEARED FOR THE I L S
2,Finite,4522,SORRY GO AHEAD THIRTY EIGHT FORTY THREE WITH YOU
2,Finite,8135,AH WE'RE V F R PLUM ISLAND
2,Finite,1774,(UNINTELLIGIBLE) IT PRETTY HAZY OUT HERE
2,Finite,8620,HENSON FORTY THREE EIGHTY SIX YOU UP
2,Finite,1549,BIZEX SEVEN OH TWO ROGER
2,Finite,7887,THIRTY EIGHT FORTY TWO WE HAVE HIM IN SIGHT
2,Finite,12007,MIDEX TWENTY SEVEN TWENTY ONE ROGER
2,Finite,12149,ALPHA MIKE OUT OF FOUR FOR THREE
2,Finite,12304,YEAH I THINK YOU SAID US MAYBE NOT
2,Finite,13893,U S AIR FORTY SEVEN CONTACT DEPARTURE GOOD NIGHT
2,Finite,7552,ONE EIGHTY FOUR THIRTY THREE
2,Finite,14000,TRUMP SIXTY FIVE TWENTY CONTACT DEPARTURE
2,Finite,9423,ONE NINER ZERO ROGER
2,Finite,6428,TWO THREE HOTEL ON TO HOLD
2,Finite,9458,ALL RIGHT PROCEED DIRECT RICHMOND
2,Finite,22258,TEN EIGHTY ONE IS LOOKING
2,Finite,24659,EIGHT THOUSAND SOUTHWEST FOUR FORTY NINE
2,Finite,20730,SIX FIFTY TWO SPEED OKAY
2,Finite,7169,THANK YOU THREE ZERO NOVEMBER
2,Finite,24582,(UNINTELLIGIBLE)
2,Finite,28775,AMERICAN TWELVE SEVENTY FOUR TOWER
2,Finite,28175,CLEARED TO LAND ELEVEN FORTY SIX
2,Finite,18501,AMERICAN NINETY FIVE REMAIN ON THIS FREQUENCY
2,Finite,16598,CAN'T MAKE THAT ONE
2,Finite,20827,ASEA THREE SIXTY TWO YOU WITH ME
2,Finite,17197,DELTA THREE OH SEVEN ROGER
2,Finite,19940,CLEARED FOR THE APPROACH DELTA FOUR TWENTY SIX
2,Finite,19938,SEVEN TWENTY FIVE TO FOUR THOUSAND
2,Finite,1161,U S AIR TWELVE THIRTY THREE BOSTON
2,Finite,6754,CLEARED TO GO THIRTY FIVE SIXTY TWO
2,Finite,29505,CHAPARRAL SEVEN SEVENTEEN 'S READY
2,Finite,19333,ZERO SEVEN ZERO AMERICAN TWELVE SEVENTY
2,Finite,28160,LOUD AND CLEAR ASEA FOUR FIFTY FIVE
2,Finite,14559,CLEARED TO GO CONTINENTAL THREE TWENTY
2,Finite,26341,SEVEN THIRTY SIX THANK YOU GOOD DAY
2,Finite,20776,THREE THIRTY FIVE ZERO TWO ZERO
2,Finite,28629,CLEARED TO LAND ASEA FOUR SIXTY EIGHT
2,Finite,5765,CLIPPER FIVE FORTY SEVEN
